episode,step,action_index,action_label,reward,loss,done,mission_status,battery_pct,attitude_error,fuel_units,last_action_result
2,1,15,recalibrate_star_tracker,-0.250000,0.002437,0,degraded,43.090,0.000,50.000,star tracker nominal; recalibration unnecessary
2,2,11,reconfigure_power:solar_b,-0.350000,0.001274,0,degraded,43.090,0.000,50.000,solar_b has no active fault to reconfigure
2,3,6,restore_load:heaters,-0.250000,0.000176,0,degraded,43.090,0.000,50.000,heaters already online
2,4,22,query_power_level:solar_a,0.000000,0.014745,0,degraded,43.090,0.000,50.000,diag: solar_a output=90.0W health=1.00 (panel nominal)
2,5,17,switch_attitude_reference:star_tracker,-0.050000,0.001783,0,degraded,43.090,0.000,50.000,attitude reference set to star_tracker
2,6,18,switch_attitude_reference:gyro,-0.050000,0.004189,0,degraded,43.090,0.000,50.000,attitude reference set to gyro
2,7,28,diagnostic_scan:comms,0.050000,0.016176,0,degraded,43.090,0.000,50.000,diag-scan comms: transponder=online signal=25.0dB comms_fault=False pending_cycle=False
2,8,10,reconfigure_power:solar_a,-0.350000,0.000238,0,degraded,43.090,0.000,50.000,solar_a has no active fault to reconfigure
2,9,26,diagnostic_scan:power,0.050000,0.018113,0,degraded,43.090,0.000,50.000,diag-scan power: bat=43.1% solar=180.0W load=105.0W net=positive pcf=True
2,10,20,recalibrate_imu,0.000000,0.015165,0,degraded,43.090,0.000,50.000,IMU recalibrated (bias was negligible)
2,11,0,shed_load:science_a,0.250000,0.099712,0,degraded,43.090,0.000,50.000,science_a powered off
2,12,17,switch_attitude_reference:star_tracker,-0.050000,0.001262,0,degraded,43.090,0.000,50.000,attitude reference set to star_tracker
2,13,11,reconfigure_power:solar_b,-0.350000,0.000183,0,degraded,43.090,0.000,50.000,solar_b has no active fault to reconfigure
2,14,11,reconfigure_power:solar_b,-0.350000,0.000048,0,degraded,43.090,0.000,50.000,solar_b has no active fault to reconfigure
2,15,7,restore_load:transponder,-0.250000,0.015182,0,degraded,43.090,0.000,50.000,transponder already online
2,16,6,restore_load:heaters,-0.250000,0.000039,0,degraded,43.090,0.000,50.000,heaters already online
2,17,12,stabilize_attitude,0.250000,0.030098,0,degraded,43.090,0.000,48.000,attitude stabilization burn; pointing error 0.00deg
2,18,10,reconfigure_power:solar_a,-0.350000,0.005880,0,degraded,43.090,0.000,48.000,solar_a has no active fault to reconfigure
2,19,10,reconfigure_power:solar_a,-0.350000,0.001670,0,degraded,43.090,0.000,48.000,solar_a has no active fault to reconfigure
2,20,15,recalibrate_star_tracker,-0.250000,0.003463,0,degraded,43.090,0.000,48.000,star tracker nominal; recalibration unnecessary
2,21,12,stabilize_attitude,0.250000,0.027521,0,degraded,43.090,0.000,46.000,attitude stabilization burn; pointing error 0.00deg
2,22,29,safe_mode,-0.250000,0.188676,0,degraded,43.090,0.000,46.000,safe mode engaged; non-essentials shed
2,23,18,switch_attitude_reference:gyro,-0.050000,0.013659,0,degraded,43.090,0.000,46.000,attitude reference set to gyro
2,24,23,query_power_level:solar_b,0.000000,0.017911,0,degraded,43.090,0.000,46.000,diag: solar_b output=90.0W health=1.00 (panel nominal)
2,25,15,recalibrate_star_tracker,-0.250000,0.001696,0,degraded,43.090,0.000,46.000,star tracker nominal; recalibration unnecessary
2,26,5,restore_load:science_b,0.050000,0.066902,0,degraded,43.090,0.000,46.000,science_b restored
2,27,5,restore_load:science_b,-0.250000,0.001526,0,degraded,43.090,0.000,46.000,science_b already online
2,28,17,switch_attitude_reference:star_tracker,-0.050000,0.015304,0,degraded,43.090,0.000,46.000,attitude reference set to star_tracker
2,29,29,safe_mode,-0.250000,0.030148,0,degraded,43.090,0.000,46.000,safe mode engaged; non-essentials shed
2,30,17,switch_attitude_reference:star_tracker,-0.050000,0.004254,0,degraded,43.090,0.000,46.000,attitude reference set to star_tracker
2,31,12,stabilize_attitude,0.250000,0.027440,0,degraded,43.090,0.000,44.000,attitude stabilization burn; pointing error 0.00deg
2,32,15,recalibrate_star_tracker,-0.250000,0.005882,0,degraded,43.090,0.000,44.000,star tracker nominal; recalibration unnecessary
2,33,10,reconfigure_power:solar_a,-0.350000,0.004209,0,degraded,43.090,0.000,44.000,solar_a has no active fault to reconfigure
2,34,8,switch_to_backup_battery,0.450000,0.383645,0,degraded,100.000,0.000,44.000,switched to backup battery
2,35,30,resume_nominal,-0.550000,0.001416,0,degraded,100.000,0.000,44.000,refused: 1 unresolved fault(s) — resolve before resuming nominal
2,36,11,reconfigure_power:solar_b,-0.350000,0.017392,0,degraded,100.000,0.000,44.000,solar_b has no active fault to reconfigure
2,37,8,switch_to_backup_battery,-0.350000,0.035975,0,degraded,100.000,0.000,44.000,already on backup battery
2,38,21,query_power_level:battery,0.000000,0.063273,0,degraded,100.000,0.000,44.000,diag: battery_pct=100.0% health=0.43 backup=True pcf=True
2,39,18,switch_attitude_reference:gyro,-0.050000,0.021210,0,degraded,100.000,0.000,44.000,attitude reference set to gyro
2,40,30,resume_nominal,-0.550000,0.000423,0,degraded,100.000,0.000,44.000,refused: 1 unresolved fault(s) — resolve before resuming nominal
2,41,7,restore_load:transponder,0.050000,0.107264,0,degraded,100.000,0.000,44.000,transponder restored
2,42,8,switch_to_backup_battery,-0.350000,0.002672,0,degraded,100.000,0.000,44.000,already on backup battery
2,43,23,query_power_level:solar_b,0.000000,0.042115,0,degraded,100.000,0.000,44.000,diag: solar_b output=90.0W health=1.00 (panel nominal)
2,44,3,shed_load:transponder,0.250000,0.238425,0,degraded,100.000,0.000,44.000,transponder powered off
2,45,22,query_power_level:solar_a,0.000000,0.062746,0,degraded,100.000,0.000,44.000,diag: solar_a output=90.0W health=1.00 (panel nominal)
2,46,2,shed_load:heaters,0.250000,0.184593,0,degraded,100.000,0.000,44.000,heaters powered off
2,47,14,desaturate_wheels,-0.150000,0.022319,0,degraded,100.000,0.000,44.000,wheels already nominal; desaturation unnecessary
2,48,3,shed_load:transponder,-0.250000,0.002578,0,degraded,100.000,0.000,44.000,transponder already offline
2,49,24,query_attitude,0.000000,0.042228,0,degraded,100.000,0.000,44.000,diag: mode=nominal err=0.00deg rw=nominal ref=gyro st_bias=0.0 gyro_bias=0.0
2,50,1,shed_load:science_b,-1.250000,0.785865,1,degraded,100.000,0.000,44.000,science_b already offline
3,1,8,switch_to_backup_battery,0.450000,0.279007,0,degraded,100.000,0.000,50.000,switched to backup battery
3,2,8,switch_to_backup_battery,-0.350000,0.068425,0,degraded,100.000,0.000,50.000,already on backup battery
3,3,27,diagnostic_scan:attitude,0.050000,0.049946,0,degraded,100.000,0.000,50.000,diag-scan attitude: mode=nominal err=0.00deg rw_deg=0.00 st_fault=False ref=star_tracker
3,4,13,switch_to_thruster_control,-0.050000,0.044814,0,degraded,100.000,0.000,48.500,ACS switched to thruster control
3,5,21,query_power_level:battery,0.000000,0.015708,0,degraded,100.000,0.000,47.000,diag: battery_pct=100.0% health=0.64 backup=True pcf=True
3,6,25,query_thermal,0.000000,0.048611,0,degraded,100.000,0.000,45.500,diag: battery_temp=8.4C heaters=offline thermal_fault=True
3,7,9,reset_power_controller,0.750000,0.631509,0,degraded,100.000,0.000,44.000,power controller reset; drain fault cleared
3,8,18,switch_attitude_reference:gyro,-0.050000,0.017531,0,degraded,100.000,0.000,42.500,attitude reference set to gyro
3,9,4,restore_load:science_a,-0.250000,0.022456,0,degraded,100.000,0.000,41.000,science_a already online
3,10,5,restore_load:science_b,-0.250000,0.008042,0,degraded,100.000,0.000,39.500,science_b already online
3,11,0,shed_load:science_a,-0.150000,0.006398,0,degraded,100.000,0.000,38.000,science_a powered off
