episode,seed,epsilon,total_reward,mean_loss,max_loss,steps,done,recovered,lost,final_status,final_battery_pct,final_attitude_error,final_fuel_units,invalid_action_count,diagnostic_action_count,rolling_reward_20,rolling_loss_20,rolling_success_rate_20,eval_mean_reward,eval_success_rate
1,3,1.000000,-7.700000,0.025277,0.668410,50,1,0,0,degraded,100.000,0.000,28.500,1,11,-7.700000,0.025277,0.000000,,
2,4,0.994722,-6.950000,0.053022,0.785865,50,1,0,0,degraded,100.000,0.000,44.000,2,8,-7.325000,0.039150,0.000000,,
3,5,0.989444,-24.950000,0.388457,15.050335,50,1,0,1,lost,94.580,21.000,0.000,1,15,-13.200000,0.155585,0.000000,,
4,6,0.984167,-6.600000,0.099732,1.022233,50,1,0,0,degraded,100.000,2.250,40.000,3,14,-11.550000,0.141622,0.000000,,
5,7,0.978889,-11.100000,1.462954,51.550201,39,1,0,1,lost,100.000,1.500,0.000,1,9,-11.460000,0.405888,0.000000,,
